ERA,WHIP,W,L,SV,SO,BB,HBP,HRA,BF,player,team,IP,target_year,age,data_years
2.7,1.12,1.7,1.3,0.6,22.9,7.7,0.8,2.0,116.6,小木田　敦也,オリックス,28.6,2026,27,2
3.29,1.36,2.7,2.2,1.1,36.9,14.0,1.8,3.0,186.4,アンダーソン,広島,45.0,2026,44,1
3.01,1.21,3.0,2.7,0.7,42.5,15.2,2.5,2.8,199.7,ビーズリー,阪神,48.0,2026,30,3
2.98,1.23,6.1,8.7,1.1,91.6,37.1,5.9,8.2,533.2,髙橋　光成,西武,127.5,2026,29,3
3.81,1.32,2.8,3.4,0.8,39.0,17.4,2.0,4.8,229.0,メヒア,中日,55.3,2026,40,3
2.21,1.04,3.0,2.5,0.9,40.4,13.6,1.5,2.6,181.4,及川　雅貴,阪神,44.7,2026,24,3
3.22,1.26,1.8,1.8,0.7,26.1,10.3,1.7,2.4,146.2,又吉　克樹,ソフトバンク,35.2,2026,35,2
3.28,1.37,0.6,0.5,0.3,8.4,3.1,0.5,0.8,44.4,比嘉　幹貴,オリックス,10.7,2026,43,2
3.11,1.21,0.8,0.9,0.5,15.7,6.2,0.7,2.0,79.8,菊地　吏玖,ロッテ,18.9,2026,25,3
2.79,1.11,9.3,5.1,1.1,79.0,22.5,4.5,7.7,492.3,大竹　耕太郎,阪神,122.0,2026,30,3
2.29,1.01,7.8,5.9,1.1,138.8,31.6,5.0,7.6,592.8,宮城　大弥,オリックス,146.5,2026,24,3
2.88,1.15,4.4,5.0,1.2,51.6,24.0,2.8,6.6,357.4,内　星龍,楽天,85.4,2026,23,3
3.0,1.34,6.3,4.8,1.0,62.8,30.9,4.5,6.7,410.5,藤井　聖,楽天,96.5,2026,29,3
2.31,1.06,9.7,6.6,1.1,159.5,54.9,7.4,8.7,643.9,今井　達也,西武,159.2,2026,27,3
3.07,1.23,2.4,1.9,1.0,35.6,11.9,1.6,2.4,169.0,山岡　泰輔,オリックス,40.3,2026,30,3
2.85,1.16,12.0,7.7,1.1,118.9,38.7,6.8,11.5,668.2,有原　航平,ソフトバンク,164.0,2026,33,3
2.51,1.14,4.7,3.4,1.3,52.2,19.6,1.6,2.9,234.4,島内　颯太郎,広島,57.1,2026,29,3
3.07,1.23,1.3,1.0,0.5,18.3,7.9,0.8,1.6,106.7,中村　稔弥,ロッテ,25.5,2026,29,3
2.88,1.18,1.8,2.7,7.1,36.2,10.4,1.5,2.5,173.5,森原　康平,DeNA,42.2,2026,34,3
2.41,1.14,2.8,2.6,1.4,54.7,18.1,2.5,3.0,212.5,藤井　皓哉,ソフトバンク,51.6,2026,29,3
2.7,1.13,9.8,7.8,1.1,122.8,43.7,4.4,10.8,612.9,戸郷　翔征,巨人,148.8,2026,25,3
2.82,1.19,0.9,0.8,0.4,13.4,5.2,1.0,1.1,70.2,田浦　文丸,ソフトバンク,16.7,2026,26,2
3.09,1.25,0.6,0.6,0.3,9.4,3.5,0.4,0.8,47.4,ブルワー,阪神,11.3,2026,33,1
3.14,1.14,5.4,4.6,1.0,62.7,20.1,2.4,7.0,400.0,伊藤　将司,阪神,98.0,2026,29,3
2.35,1.17,4.9,3.6,8.7,69.4,26.7,3.7,3.8,314.4,平良　海馬,西武,75.7,2026,26,3
2.91,1.22,3.3,1.8,0.9,31.7,14.4,1.1,2.1,163.2,渡辺　翔太,楽天,38.6,2026,25,3
2.63,1.1,4.9,3.6,0.9,56.5,17.6,2.2,6.7,312.4,大津　亮介,ソフトバンク,77.3,2026,27,3
3.09,1.25,4.1,6.0,1.0,69.2,29.4,3.3,5.0,395.7,柳　裕也,中日,95.0,2026,31,3
3.01,1.22,0.5,0.4,0.2,7.2,2.8,0.3,0.6,36.6,馬場　皐輔,巨人,8.8,2026,30,3
3.05,1.26,1.3,1.3,0.6,17.0,6.7,0.9,1.5,90.6,マーベル,日本ハム,21.7,2026,32,1
2.99,1.2,1.4,1.7,0.6,23.9,10.9,1.3,1.9,128.4,佐藤　隼輔,西武,30.6,2026,26,3
2.89,1.23,8.8,8.6,1.1,115.1,43.0,6.3,9.4,638.9,九里　亜蓮,オリックス,155.9,2026,34,3
2.33,1.07,8.9,8.3,1.1,134.5,45.2,5.8,7.6,636.7,髙橋　宏斗,中日,155.9,2026,23,3
2.83,1.2,1.8,2.0,0.8,28.9,11.9,1.7,2.5,145.5,甲斐野　央,西武,35.0,2026,29,3
2.95,1.18,1.0,1.4,0.6,20.4,7.0,0.7,1.9,98.9,中川　虎大,DeNA,23.7,2026,26,3
3.15,1.31,1.6,1.5,0.6,21.1,9.1,0.9,2.0,118.7,平井　克典,西武,28.2,2026,34,2
2.95,1.24,1.4,0.9,0.6,20.4,8.7,1.1,1.7,108.7,山本　大貴,ヤクルト,25.9,2026,30,3
2.73,1.25,0.7,0.7,0.3,12.0,5.5,0.5,0.9,63.8,福　敬登,中日,15.2,2026,33,3
3.29,1.32,1.7,1.7,0.8,26.0,11.0,1.2,2.3,134.0,加治屋　蓮,楽天,31.9,2026,34,3
3.14,1.32,4.3,4.7,11.6,61.9,23.2,2.5,4.7,334.5,則本　昂大,楽天,79.4,2026,35,3
2.71,1.16,2.3,1.9,0.6,24.2,11.1,1.8,2.5,156.6,鈴木　健矢,広島,37.8,2026,28,3
2.93,1.23,1.9,1.9,1.1,26.0,9.3,1.6,2.2,141.6,玉井　大翔,日本ハム,34.1,2026,33,2
3.21,1.41,1.1,1.3,0.5,18.8,7.5,0.8,1.7,96.4,宮西　尚生,日本ハム,22.7,2026,40,3
2.53,1.1,2.9,2.3,3.0,46.5,14.8,2.0,3.5,196.8,松本　裕樹,ソフトバンク,48.4,2026,29,3
3.2,1.27,5.0,5.3,1.0,65.3,22.9,3.3,5.5,374.4,西野　勇士,ロッテ,90.7,2026,35,3
3.0,1.25,1.1,1.3,0.5,18.8,7.1,1.0,1.7,94.7,阿部　翔太,オリックス,22.7,2026,33,3
2.97,1.27,1.4,1.1,0.5,18.6,6.9,0.9,1.4,98.9,岩貞　祐太,阪神,23.8,2026,34,3
2.85,1.11,2.5,1.9,0.7,33.1,11.3,2.0,4.0,163.6,船迫　大雅,巨人,40.2,2026,29,3
2.95,1.2,2.2,2.2,5.5,35.0,13.9,1.5,3.2,167.2,入江　大生,DeNA,39.8,2026,27,2
2.55,1.09,9.9,5.7,1.1,117.2,37.6,7.2,9.4,618.3,山﨑　伊織,巨人,151.5,2026,27,3
2.98,1.27,2.5,2.4,1.5,38.0,17.9,2.4,3.2,202.6,木澤　尚文,ヤクルト,47.4,2026,27,3
3.04,1.22,0.8,0.7,0.3,12.1,4.6,0.6,1.1,60.0,大道　温貴,広島,14.3,2026,27,3
2.86,1.19,1.8,1.6,0.6,25.6,8.3,1.8,2.0,138.0,中﨑　翔太,広島,33.4,2026,33,3
2.69,1.1,5.8,3.8,1.0,96.1,25.0,4.6,6.0,412.6,グリフィン,巨人,101.6,2026,30,3
3.39,1.3,2.3,3.1,0.9,34.3,13.1,2.1,3.0,185.8,上原　健太,日本ハム,43.9,2026,32,3
3.77,1.33,6.6,7.5,1.4,117.4,40.8,4.4,12.8,555.1,バウアー,DeNA,132.5,2026,35,2
2.74,1.17,1.5,1.8,2.1,27.0,10.1,1.2,2.0,133.5,鈴木　昭汰,ロッテ,32.2,2026,27,3
